iter	Passed	Remaining
425	1880	2533
426	1882	2526
427	1885	2519
428	1887	2511
429	1892	2508
430	1898	2506
431	1901	2500
432	1903	2493
433	1908	2489
434	1913	2485
435	1916	2479
436	1918	2471
437	1920	2463
438	1924	2459
439	1929	2455
440	1933	2451
441	1937	2446
442	1944	2445
443	1949	2441
444	1952	2435
445	1955	2429
446	1960	2425
447	1964	2420
448	1967	2414
449	1971	2409
450	1974	2402
451	1977	2396
452	1979	2390
453	1981	2382
454	1982	2375
455	1987	2371
456	1992	2367
457	1995	2361
458	1997	2354
459	1999	2347
460	2004	2343
461	2008	2338
462	2011	2332
463	2013	2325
464	2014	2318
465	2018	2313
466	2021	2307
467	2025	2302
468	2027	2295
469	2029	2288
470	2031	2281
471	2034	2276
472	2038	2271
473	2041	2265
474	2043	2258
475	2045	2251
476	2047	2244
477	2050	2239
478	2054	2234
479	2057	2229
480	2060	2222
481	2061	2215
482	2065	2210
483	2070	2206
484	2075	2203
485	2078	2197
486	2082	2194
487	2087	2190
488	2091	2185
489	2094	2180
490	2099	2176
491	2104	2172
492	2109	2169
493	2114	2165
494	2117	2159
495	2120	2155
496	2123	2148
497	2125	2142
498	2127	2136
499	2130	2130
500	2134	2125
501	2136	2119
502	2139	2113
503	2140	2106
504	2142	2100
505	2146	2095
506	2150	2090
507	2152	2085
508	2155	2079
509	2158	2073
510	2161	2068
511	2166	2064
512	2169	2059
513	2171	2053
514	2173	2046
515	2176	2041
516	2179	2036
517	2182	2031
518	2185	2025
519	2187	2019
520	2189	2012
521	2192	2007
522	2195	2002
523	2198	1997
524	2201	1991
525	2203	1985
526	2204	1978
527	2209	1975
528	2213	1970
529	2215	1964
530	2219	1960
531	2223	1955
532	2226	1950
533	2230	1946
534	2233	1941
535	2234	1934
536	2237	1928
537	2241	1924
538	2244	1920
539	2247	1914
540	2249	1908
541	2251	1902
542	2254	1897
543	2257	1892
544	2261	1887
545	2263	1882
546	2265	1876
547	2267	1870
548	2270	1865
549	2274	1860
550	2277	1855
551	2280	1850
552	2281	1844
553	2285	1839
554	2288	1834
