iter	Passed	Remaining
428	1735	2309
429	1737	2303
430	1742	2300
431	1746	2295
432	1748	2289
433	1750	2283
434	1752	2276
435	1757	2273
436	1761	2270
437	1764	2263
438	1766	2257
439	1768	2251
440	1772	2247
441	1777	2243
442	1779	2237
443	1781	2231
444	1784	2225
445	1787	2220
446	1791	2216
447	1794	2211
448	1796	2204
449	1798	2198
450	1802	2194
451	1807	2191
452	1810	2185
453	1812	2179
454	1814	2173
455	1817	2167
456	1822	2165
457	1825	2160
458	1827	2153
459	1830	2148
460	1832	2142
461	1838	2140
462	1840	2134
463	1842	2128
464	1845	2123
465	1847	2117
466	1853	2115
467	1858	2112
468	1863	2110
469	1873	2112
470	1876	2107
471	1878	2101
472	1881	2095
473	1886	2093
474	1889	2088
475	1891	2081
476	1894	2076
477	1897	2071
478	1902	2069
479	1905	2064
480	1908	2059
481	1911	2053
482	1918	2054
483	1922	2049
484	1924	2043
485	1927	2038
486	1931	2034
487	1935	2030
488	1937	2025
489	1940	2019
490	1943	2014
491	1948	2012
492	1952	2007
493	1954	2001
494	1956	1996
495	1958	1990
496	1961	1985
497	1966	1982
498	1968	1976
499	1970	1970
500	1973	1965
501	1976	1960
502	1980	1957
503	1983	1952
504	1986	1946
505	1988	1941
506	1993	1938
507	1997	1934
508	1999	1928
509	2001	1922
510	2004	1917
511	2007	1912
512	2011	1909
513	2014	1904
514	2016	1899
515	2020	1895
516	2027	1893
517	2032	1891
518	2037	1888
519	2042	1885
520	2046	1881
521	2048	1876
522	2051	1870
523	2053	1865
524	2058	1862
525	2061	1857
526	2063	1852
527	2066	1846
528	2068	1842
529	2072	1838
530	2077	1834
531	2079	1829
532	2081	1823
533	2084	1818
534	2087	1814
535	2092	1811
536	2094	1806
537	2096	1800
538	2098	1794
539	2101	1789
540	2105	1786
541	2109	1782
542	2111	1777
543	2114	1772
544	2116	1767
545	2122	1764
546	2125	1760
547	2127	1755
548	2130	1750
549	2132	1744
550	2137	1741
551	2140	1737
552	2142	1731
553	2145	1727
554	2154	1727
555	2160	1725
556	2165	1722
557	2173	1721
558	2177	1717
559	2180	1713
560	2184	1709
561	2188	1705
562	2190	1700
563	2192	1695
564	2195	1690
565	2197	1685
566	2203	1682
567	2205	1677
568	2208	1672
569	2210	1667
570	2213	1663
571	2218	1660
572	2221	1655
573	2223	1650
574	2226	1645
575	2229	1641
576	2234	1638
577	2237	1633
578	2239	1628
579	2241	1623
580	2244	1618
581	2249	1615
582	2253	1611
583	2255	1606
584	2258	1602
585	2263	1598
586	2266	1594
587	2269	1589
588	2271	1585
589	2274	1580
590	2277	1575
591	2282	1573
592	2286	1569
593	2291	1566
594	2298	1564
595	2302	1560
596	2306	1556
597	2311	1553
598	2316	1550
599	2320	1547
600	2324	1543
601	2330	1540
602	2333	1536
603	2336	1531
604	2339	1527
605	2343	1523
606	2348	1520
607	2350	1515
608	2353	1511
609	2359	1508
610	2362	1503
611	2363	1498
612	2366	1493
613	2369	1489
614	2371	1484
615	2376	1481
616	2378	1476
617	2380	1471
618	2383	1466
619	2388	1463
620	2397	1463
621	2400	1459
622	2407	1456
623	2410	1452
624	2412	1447
625	2415	1443
626	2417	1438
627	2423	1435
628	2426	1430
629	2428	1426
630	2430	1421
631	2433	1416
632	2438	1413
633	2441	1409
634	2443	1404
635	2446	1400
636	2449	1395
637	2454	1392
638	2457	1388
639	2459	1383
640	2462	1378
641	2464	1374
642	2469	1371
643	2472	1366
644	2474	1362
645	2477	1357
646	2479	1352
647	2482	1348
648	2488	1345
649	2491	1341
650	2495	1337
651	2498	1333
652	2503	1330
653	2506	1325
654	2509	1321
655	2512	1317
656	2516	1313
657	2519	1309
658	2521	1304
659	2523	1300
660	2526	1295
661	2530	1292
662	2534	1288
663	2536	1283
664	2538	1279
665	2541	1274
666	2543	1269
667	2548	1266
668	2551	1262
669	2553	1257
670	2556	1253
671	2558	1248
672	2563	1245
673	2567	1241
674	2569	1237
675	2571	1232
676	2573	1228
677	2577	1223
678	2582	1220
679	2584	1216
680	2587	1211
681	2590	1207
682	2594	1204
683	2598	1200
684	2600	1195
685	2602	1191
686	2604	1186
687	2607	1182
688	2612	1179
689	2616	1175
690	2617	1170
691	2621	1166
692	2628	1164
693	2632	1160
694	2635	1156
695	2637	1152
696	2642	1148
697	2645	1144
698	2647	1140
699	2649	1135
700	2652	1131
701	2657	1127
702	2661	1124
703	2663	1119
704	2665	1115
705	2667	1110
706	2670	1106
707	2675	1103
708	2678	1099
709	2680	1094
710	2683	1090
711	2685	1086
712	2689	1082
713	2693	1078
714	2695	1074
715	2697	1070
716	2700	1066
717	2704	1062
718	2709	1058
719	2712	1054
720	2714	1050
721	2717	1046
722	2720	1042
723	2725	1038
724	2727	1034
725	2729	1030
726	2732	1026
727	2736	1022
728	2740	1018
729	2742	1014
730	2744	1009
731	2746	1005
732	2748	1001
733	2754	998
734	2757	994
735	2759	989
736	2762	985
737	2764	981
738	2770	978
739	2773	974
740	2775	970
741	2779	966
742	2781	962
743	2785	958
744	2788	954
745	2791	950
746	2793	946
747	2797	942
748	2801	938
749	2805	935
750	2807	930
751	2810	926
752	2812	922
753	2817	919
754	2821	915
755	2823	911
756	2826	907
757	2828	903
758	2834	899
759	2837	896
760	2839	891
761	2841	887
762	2844	883
763	2848	879
764	2852	876
765	2855	872
766	2857	868
767	2860	864
768	2870	862
769	2874	858
770	2877	854
771	2882	851
772	2884	847
773	2886	842
774	2889	838
775	2891	834
776	2897	831
777	2900	827
778	2902	823
779	2904	819
780	2907	815
781	2909	811
782	2914	807
783	2918	803
784	2920	799
785	2923	795
786	2927	792
787	2931	788
788	2933	784
789	2936	780
790	2938	776
791	2942	772
792	2946	769
793	2949	765
794	2952	761
795	2954	757
796	2959	753
797	2963	750
798	2965	746
799	2968	742
800	2970	738
801	2974	734
802	2978	730
803	2981	726
804	2983	722
805	2986	718
806	2991	715
807	2995	711
808	2997	707
809	2999	703
810	3002	699
811	3007	696
812	3010	692
813	3012	688
814	3014	684
815	3018	680
816	3020	676
817	3025	673
818	3028	669
819	3031	665
820	3033	661
821	3038	657
822	3042	654
823	3044	650
824	3046	646
825	3048	642
826	3051	638
827	3057	635
828	3060	631
829	3061	627
830	3064	623
831	3067	619
832	3072	615
833	3075	612
834	3077	608
835	3080	604
836	3084	600
837	3088	597
838	3091	593
839	3092	589
840	3095	585
841	3098	581
842	3106	578
843	3109	574
844	3112	570
845	3115	567
846	3120	563
847	3122	559
848	3125	555
849	3127	551
850	3131	548
851	3136	544
852	3138	540
853	3140	536
854	3143	533
855	3145	529
856	3150	525
857	3153	521
858	3155	517
859	3158	514
860	3160	510
861	3165	506
862	3169	503
863	3170	499
864	3172	495
